Название вакансии,Размер заработной платы,Название компании,Образование,Уровень английского,Опыт работы,Сертификация,Способ оформления,Методы управления,Регион,contains_project_keywords
Менеджер по проектам,80000.0,1Д ГРУППА А,Среднее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург,True
Менеджер проектов,80000.0,Архитектурное бюро Corn,Не требуется,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Москва,True
Администратор проектов,100000.0,Инфолэнд,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва,True
Руководитель проектов,220000.0,Белоусов Максим Сергеевич,Высшее,Не требуется,Более 6 лет,Не указано,Полная занятость,Не указаны,Москва,True
Стажер-менеджер IT-проектов,27000.0,Intensa,Не требуется,Не требуется,Нет опыта,Не указано,Полная занятость,Не указаны,Тула,True
Менеджер проектов на производство,70000.0,Хард Декор,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Балашиха,True
Менеджер проектов,65000.0,Вега,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Краснодар,True
IT Project manager,120000.0,Миловидов,Не требуется,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Казань,True
Менеджер проектов,180000.0,Си-Эн-Эс,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва,True
Руководитель проектов,60000.0,ГТО,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург,True
Менеджер проектов (Customer success manager),90000.0,Mindbox,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва,True
Менеджер строительных проектов,150000.0,Современное Комплексное Строительство,Высшее,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Москва,True
Менеджер проектов / Менеджер в веб-студию,50000.0,IS ART,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Орехово-Зуево,True
Проект-менеджер,30000.0,Phenix Group,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Частичная занятость,agile; scrum; waterfall,Казань,True
Менеджер проектов,50000.0,Джи Эл Эс Инвест,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Нижний Новгород,True
Менеджер проекта,,Главстрой (Москва),Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва,True
Менеджер проектов (IT),,Фабрика Решений,Не требуется,Требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва,True
Менеджер по управлению проектами,50000.0,Панорамика,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Екатеринбург,True
Ассистент менеджера проекта,70000.0,Архитектурное бюро МежрегионСтрой,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва,True
Junior project manager / Младший менеджер проектов,,Blacklight,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва,True
Project manager/Менеджер проектов в IT,70000.0,Digital Sail,Среднее,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Ставрополь,True
Руководитель проектов (менеджер проектов),160000.0,Консалтинговое бюро Валерии Леви,Высшее,Не требуется,Более 6 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург,True
Менеджер проекта,50000.0,Студия архитектуры и дизайна РИС,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Волгоград,True
Начинающий менеджер проектов/Проектный менеджер,50000.0,UNITWORK,Не требуется,Не требуется,Нет опыта,Не указано,Полная занятость,Не указаны,Краснодар,True
"Project manager/Менеджер проекта (Event, деловые мероприятия)",70000.0,Группа компаний МАЛИБУ,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Екатеринбург,True
Менеджер проектов,80000.0,Сатурн,Высшее,Не требуется,Нет опыта,Не указано,Полная занятость,Не указаны,Хабаровск,True
Менеджер IT-проектов,80000.0,Международная торговля и интеграция,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва,True
Project manager IT,120000.0,СканТур,Не требуется,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург,True
Менеджер проекта,85000.0,РАМЭК - ВС,Высшее,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург,True
Менеджер проектов,,FRESH AUTO,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва,True
Проект-менеджер/менеджер по работе с проектными организациями,100000.0,ТСТ,Среднее,Не требуется,Нет опыта,Не указано,Полная занятость,Не указаны,Красноярск,True
Project Manager (Technical),200000.0,Restaurant Guru,Не требуется,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Москва,True
Управляющий менеджер проектов,130000.0,Static Aesthetic Architects,Не требуется,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Москва,True
Начинающий менеджер проектов,60000.0,ИГРАТЕКС,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва,True
Менеджер проектов в Event агентство,60000.0,ЛЕВЕЛ АП,Среднее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Уфа,True
Менеджер проектов (Битрикс24),115000.0,NBCom Group,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург,True
Менеджер проекта ( Самокат ),50000.0,Кадровые Решения,Не требуется,Не требуется,Нет опыта,Не указано,Полная занятость,Не указаны,Санкт-Петербург,True
Event-менеджер | Project manager | Руководитель проектов,110000.0,CODE#93,Не требуется,Не требуется,Более 6 лет,Не указано,Полная занятость,Не указаны,Москва,True
"Руководитель проектов / Project-manager (LED экраны, мультимедийное оборудование)",100000.0,Эддреа,Не требуется,Не требуется,Нет опыта,Не указано,Полная занятость,Не указаны,Москва,True
Менеджер проектов,,Архитектурное бюро Александры Фёдоровой,Не требуется,Требуется,Более 6 лет,Не указано,Полная занятость,Не указаны,Москва,True
Руководитель проектов/Project Manager,100000.0,Q-Digital,Не требуется,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Ижевск,True
Менеджер проектов и клиентской заботы (аккаунт-менеджер),50000.0,Lead Zeppelin,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва,True
Менеджер проекта коммерческих бытовых услуг,115000.0,А101-Комфорт,Среднее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва,True
Помощник менеджера проекта,90000.0,К.С.Бюро,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва,True
Менеджер проектов (без холодных продаж),50000.0,"Топ-7, Интернет-компания",Не требуется,Не требуется,Нет опыта,Не указано,Полная занятость,Не указаны,Нижний Новгород,True
Менеджер проектов,130000.0,Евро Трейд,Не требуется,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Москва,True
Руководитель проектов,108000.0,Меридиан,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Пермь,True
Менеджер проектов,80000.0,ТайпТайп,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург,True
Менеджер по проектам,85000.0,Набережночелнинский Трубный Завод Тэм-по,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Набережные Челны,True
Администратор / координатор ИТ-проектов,100000.0,Comindware,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,scrum,Москва,True
Координатор проектов,75000.0,Лидер,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург,True
Менеджер проектов в «Северсталь» (Лидерская программа),,FutureToday,Не требуется,Не требуется,Нет опыта,Не указано,Полная занятость,Не указаны,Тверь,True
Руководитель IT проектов,70000.0,ИнстаДев,Не требуется,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург,True
Менеджер проектов и комплектации в ведущее интерьерное бюро,,Мэйфэр Групп,Высшее,Требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва,True
Бизнес-ассистент / менеджер проекта,35000.0,DOG-ПРОФИ,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Частичная занятость,Не указаны,Москва,True
Менеджер проектов,105000.0,Горные Машины,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва,True
Менеджер проектов,60000.0,Dream HoCo,Не требуется,Не требуется,Нет опыта,Не указано,Полная занятость,Не указаны,Новосибирск,True
Менеджер проектов,60000.0,СЭМ,Высшее,Не требуется,Нет опыта,Не указано,Полная занятость,Не указаны,Екатеринбург,True
Менеджер проектов,150000.0,ЛЕДАЛЕН,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва,True
Менеджер проектов,132000.0,АНО Проектный офис по Развитию Туризма и Гостеприимства Москвы,Высшее,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Москва,True
Менеджер IT-проектов,60.0,CRM-Мастерская TSL,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Тверь,True
Менеджер проектов SMM / Project Manager,90000.0,Рекламное агентство KURAGA,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва,True
Менеджер проектов,70000.0,КомплектЭнерго,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Новочебоксарск,True
Ассасин проектов (Проект-менеджер в Web-студию),40000.0,ADEXE (ИП Сафиуллин Рамиль Айратович),Не требуется,Не требуется,Нет опыта,Не указано,Полная занятость,Не указаны,Казань,True
Менеджер IT-проектов,120000.0,"Крипто-Про, Компания",Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва,True
Проектный менеджер,130000.0,Зелинский и Розен парфюмерия,Высшее,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,agile,Москва,True
Проектный менеджер,150000.0,ЛЕДАЛЕН,Высшее,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Москва,True
Менеджер проектов,70000.0,Алюстар сервис,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Белгород,True
Менеджер проекта,100000.0,Рекламно-производственная компания Ником Реклама,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Екатеринбург,True
Менеджер строительных проектов,81000.0,СтройГК,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Новосибирск,True
Руководитель проектов,100000.0,Алекс Интегро,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Уфа,True
Менеджер мебельных проектов / Менеджер по комплектации объектов / Менеджер проектов,165000.0,Stilno Studio,Не требуется,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Москва,True
Менеджер по проектам,60000.0,Граулаб,Не требуется,Не требуется,Нет опыта,Не указано,Полная занятость,Не указаны,Томск,True
Менеджер по проектам (строительство),80000.0,ПромСтройРегион,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург,True
Руководитель проектов,150000.0,СКАД тех,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Уфа,True
Помощник менеджера проектов,45000.0,Реал-Проект,Не требуется,Не требуется,Нет опыта,Не указано,Полная занятость,Не указаны,Санкт-Петербург,True
Аккаунт - менеджер выставочных проектов,70000.0,СТЛ ЭКСПО,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Екатеринбург,True
Руководитель проектов,200000.0,Comelit,Среднее,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Москва,True
Менеджер проектов,50.0,Шлангенз,Высшее,Не требуется,Нет опыта,Не указано,Полная занятость,Не указаны,Великий Новгород,True
Менеджер проекта,60000.0,PETERSON,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Уфа,True
Руководитель проектов систем Умный дом,120000.0,Vimedia,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва,True
Менеджер проекта,47000.0,Дэлавэр,Среднее,Не требуется,Нет опыта,Не указано,Полная занятость,Не указаны,Нижний Новгород,True
Руководитель проектов / Менеджер проектов (малоэтажное строительство),140000.0,СИПТЕХ.РФ,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва,True
Project manager,100000.0,ВИНК,Не требуется,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,agile; waterfall,Санкт-Петербург,True
Проектный менеджер (Project manager),80000.0,NORMIK,Высшее,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Москва,True
Проектный менеджер в архитектурное бюро/Координатор проектов,130000.0,FANTALIS аrchitects,Высшее,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Москва,True
Менеджер по проектам,70000.0,Игошина Кристина Васильевна,Не требуется,Не требуется,Нет опыта,Не указано,Полная занятость,Не указаны,Москва,True
Менеджер по комплектации проектов,100000.0,TheHome.ru,Не требуется,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Москва,True
Руководитель проектов,150000.0,ИНТЕЛЛЕКТ-СТРОЙ,Высшее,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Москва,True
Проект-менеджер,50000.0,Компания СБИС-Вятка,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Киров (Кировская область),True
Менеджер проектов (Project manager),150000.0,Югмакс,Не требуется,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Москва,True
Администратор проектов,70000.0,СКАД тех,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Нижний Новгород,True
Помощник руководителя / Менеджер проекта,40000.0,Тэкна,Не требуется,Не требуется,Нет опыта,Не указано,Полная занятость,Не указаны,Самара,True
Проектный менеджер,75000.0,ИПК Докакомпозит,Высшее,Не требуется,Нет опыта,Не указано,Полная занятость,Не указаны,Нижний Новгород,True
Проектный менеджер,120000.0,ЕВРОБРИКС,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва,True
Менеджер проектов по инженерии загородных объектов,200000.0,МОНОЛИТ-ХАУС,Высшее,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург,True
Менеджер проектов (строительство),100000.0,ГК Ледовый Сервис,Не требуется,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Москва,True
Руководитель проекта,50000.0,Корпорация ЧГК,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Нижний Новгород,True
Менеджер проектов,50000.0,Музей пряника,Не требуется,Не требуется,Нет опыта,Не указано,Полная занятость,Не указаны,Владимир,True
"Project manager / Менеджер проектов / Проджект (Digital, SMM, Брендинг)",80000.0,SHARE,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва,True
Менеджер по проектам,70000.0,Mir Sveta PROEKT,Не требуется,Не требуется,Нет опыта,Не указано,Полная занятость,Не указаны,Уфа,True
Project manager / Менеджер проектов,180000.0,Раймед Трейдинг Групп,Высшее,Требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Москва,True
Менеджер проектов,40000.0,Marvel Mebel,Не требуется,Не требуется,Нет опыта,Не указано,Полная занятость,Не указаны,Калининград,True
Менеджер проектов / Координатор проектов,70000.0,Salesmatch,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва,True
Начинающий менеджер по реализации BTL проектов (Project manager),40000.0,Хорошие Люди,Не требуется,Не требуется,Нет опыта,Не указано,Полная занятость,Не указаны,Краснодар,True
Менеджер проекта (детская творческая школа),180000.0,Керамакс,Высшее,Не требуется,Более 6 лет,Не указано,Полная занятость,Не указаны,Москва,True
Руководитель проекта,120000.0,Алден,Высшее,Не требуется,Более 6 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург,True
Менеджер по продажам оборудования/менеджер проекта,120000.0,Импэксторг Хаммельманн,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург,True
Project Manager (специалист/стажер),50000.0,Digital-агентство House,Не требуется,Не требуется,Нет опыта,Не указано,Стажировка,Не указаны,Владивосток,True
Руководитель проектов,100000.0,Техника и Технологии Театра,Высшее,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Москва,True
Менеджер проекта,45000.0,Орион,Не требуется,Не требуется,Нет опыта,Не указано,Полная занятость,Не указаны,Уфа,True
Руководитель проекта/менеджер проекта,160000.0,Три Точки,Высшее,Требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Москва,True
Менеджер проектов,60000.0,Мир бега,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Ярославль,True
Руководитель проектов по автоматизации,150000.0,Константа,Не требуется,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Нижний Новгород,True
Менеджер проектов и клиентской заботы (аккаунт-менеджер),50000.0,Lead Zeppelin,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург,True
Менеджер проектов,110000.0,Техноавиа,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва,True
Менеджер проектов в «Северсталь» (Лидерская программа),,FutureToday,Не требуется,Не требуется,Нет опыта,Не указано,Полная занятость,Не указаны,Ярославль,True
"Менеджер проекта. Направление ""Работа на высоте"".",65000.0,Техноавиа,Высшее,Не требуется,Нет опыта,Не указано,Полная занятость,Не указаны,Челябинск,True
Менеджер проектов,40000.0,НЕРЕАЛЬНОСТЬ,Не требуется,Требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Белгород,True
Менеджер по проектам,,Автодор-Платные Дороги,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва,True
Менеджер масштабных IT проектов,,Тензор,Не требуется,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург,True
Менеджер проектов (строительство),120000.0,Велеса,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва,True
Менеджер проектов (project manager/проект-менеджер),80000.0,Агентство Недвижимости Жилфонд,Не требуется,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Новосибирск,True
Ассистент руководителя проекта,80000.0,СП Групп,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва,True
Менеджер проектов,75000.0,Сошьем и вышьем,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Екатеринбург,True
Менеджер проектов,100000.0,МДМ-Лайт,Высшее,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Мытищи,True
Руководитель проекта,180000.0,Балчуг Эстейт,Высшее,Не требуется,Более 6 лет,Не указано,Полная занятость,Не указаны,Москва,True
Руководитель проектов,,ПСК Эверест,Высшее,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Екатеринбург,True
Руководитель IT проектов / Менеджер проектов,60000.0,Goa Villa,Не требуется,Требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Ростов-на-Дону,True
Руководитель проектов / менеджер проектов,80000.0,LAVKA Мастерская мебели,Среднее,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Пенза,True
Проект-менеджер,100000.0,Мегаполис Групп,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва,True
Менеджер веб-проектов (Project-менеджер),55000.0,"Букет Столицы, Торговая сеть",Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Казань,True
Менеджер проектов,70000.0,Холодильные системы,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Саратов,True
Project - manager / Проектный менеджер,100000.0,Laboratory Online,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,agile; kanban; scrum,Владивосток,True
Менеджер по проектам (каркасное строительство),70000.0,ГК Петро Строй,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург,True
Project Manager (Менеджер проектов IT),60000.0,WESMA,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,agile; kanban; scrum,Москва,True
Менеджер проекта / Middle Project manager,100000.0,Topface Media,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург,True
"Менеджер продуктовых проектов/Project Manager (физические продукты, СТМ)",90000.0,Роадгид,Не требуется,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург,True
Менеджер проекта,100000.0,ТрэйдПлюс,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва,True
Руководитель проекта,140000.0,АртСтройДок,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Екатеринбург,True
Менеджер проектов,,ПСК,Высшее,Не требуется,Нет опыта,Не указано,Полная занятость,Не указаны,Иркутск,True
Руководитель проектов,120000.0,Управляющая компания Русское поле,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Нижний Новгород,True
Менеджер проекта,50000.0,Sowulo,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Курск,True
Менеджер проектов / Менеджер по работе с корпоративными клиентами,150000.0,RDP Group,Среднее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва,True
Менеджер проектов мультимедийных решений,80000.0,АудиоВидеоСистемы,Не требуется,Не требуется,Нет опыта,Не указано,Полная занятость,Не указаны,Екатеринбург,True
Проектный менеджер,100000.0,"Максимум, Автомобильный холдинг",Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург,True
Руководитель проектов,150000.0,РК Троя,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва,True
Менеджер проектов e-com (junior+/middle),60000.0,Intensa,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Тула,True
Менеджер проектов,70000.0,Practika (ИП Голубева Мария Андреевна),Среднее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Челябинск,True
Менеджер ИТ проектов,,Swordfish Security,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва,True
Менеджер проектов / IT Project Manager,35000.0,X3Group,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Барнаул,True
Менеджер по развитию проектов,70000.0,Alente digital-агентство,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Красноярск,True
Руководитель проектов (СПК),120000.0,Группа компаний ЭРГОХАУС,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва,True
Менеджер проекта аутсорсинг,40000.0,Национальная Служба Доставки,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Казань,True
Руководитель проектов,65000.0,Эра Дизайн Групп,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург,True
Менеджер проектов по благоустройству,100000.0,Барка,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва,True
Проектный менеджер / Project manager,70000.0,Like Центр,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва,True
Менеджер по проектам,80000.0,КАДО,Высшее,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Москва,True
Менеджер проектов (Департамент Разработок),80000.0,Сима-ленд,Не требуется,Не требуется,Нет опыта,Не указано,Полная занятость,Не указаны,Екатеринбург,True
Менеджер проектов,50000.0,Системы Хранения,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Екатеринбург,True
Начинающий менеджер по проектам / Проектный менеджер,,UNITWORK,Не требуется,Не требуется,Нет опыта,Не указано,Полная занятость,Не указаны,Краснодар,True
Менеджер проектов,60000.0,Kokoc Group,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва,True
Руководитель проектов ИИ (project manager AI),250000.0,Автомакон,Не требуется,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Москва,True
Помощник менеджера проектов/технический специалист,70000.0,Dantex Group,Высшее,Не требуется,Нет опыта,Не указано,Полная занятость,Не указаны,Москва,True
Менеджер проектов в отдел реализации проектов,85000.0,ЭНЕРГОДЕТАЛЬ,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург,True
Ассистент руководителя/менеджера (event) проектов,50000.0,Obcom communications,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург,True
Менеджер проекта,90000.0,САРМАТ,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Сочи,True
Менеджер проектов,80000.0,Цифровые технологии,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Владимир,True
Менеджер проектов,50000.0,Компания Бизнес-класс,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Ярославль,True
Проект-менеджер дизайна,70000.0,МассПроект,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Ставрополь,True
Менеджер проекта,70000.0,Igumnov pro remont,Не требуется,Не требуется,Нет опыта,Не указано,Полная занятость,Не указаны,Калининград,True
Менеджер проектов в отдел цифровой трансформации,90000.0,SOK,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва,True
Менеджер проекта,150000.0,ГлассПро,Высшее,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Москва,True
Менеджер проекта,100000.0,ПИК Маркет,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва,True
Менеджер проектов,45000.0,Студия 158,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Йошкар-Ола,True
Администратор проектов,70000.0,СКАД тех,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Уфа,True
Проектный менеджер,60000.0,ТехПРОМ,Не требуется,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Иркутск,True
Менеджер проектов (студия дизайна интерьеров),80000.0,Osome.Studio,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва,True
Менеджер строительных проектов,130000.0,Севзапинжиниринг,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург,True
