Название вакансии,Размер заработной платы,Название компании,Образование,Уровень английского,Опыт работы,Сертификация,Способ оформления,Методы управления,Регион,contains_project_keywords
Junior Project manager,80000.0,Kodix,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва,True
Менеджер проектов в «Северсталь» (Лидерская программа),,FutureToday,Не требуется,Не требуется,Нет опыта,Не указано,Полная занятость,Не указаны,Тольятти,True
Менеджер проектов (Менеджер IT-проектов),100000.0,Веб-интегратор СПИЧКА,Не требуется,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург,True
Project Manager / Менеджер проектов в IT,120000.0,Doubletapp,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,agile; kanban; scrum,Екатеринбург,True
Продюсер конференций/Менеджер проектов,70000.0,Continent Group,Не требуется,Не требуется,Нет опыта,Не указано,Полная занятость,Не указаны,Самара,True
Руководитель проекта,150000.0,ПСИ,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва,True
Руководитель проекта,300000.0,ПОЖРЕСУРС,Среднее,Не требуется,Более 6 лет,Не указано,Полная занятость,Не указаны,Москва,True
Аккаунт-менеджер/Менеджер проектов,70000.0,Проект Жизнь,Не требуется,Не требуется,Нет опыта,Не указано,Полная занятость,Не указаны,Москва,True
Менеджер проекта / руководитель проектов,170000.0,Про-Сцена,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург,True
Менеджер проекта,40000.0,КОРСА,Высшее,Не требуется,Нет опыта,Не указано,Полная занятость,Не указаны,Иркутск,True
Менеджер проектов (без поиска клиентов),60000.0,Труша-Мск,Не требуется,Не требуется,Нет опыта,Не указано,Полная занятость,Не указаны,Москва,True
Менеджер по проектам,90000.0,Видео Ленд,Высшее,Требуется,Нет опыта,Не указано,Полная занятость,Не указаны,Москва,True
Менеджер проекта,150000.0,Vitagor Stroy,Среднее,Не требуется,Нет опыта,Не указано,Полная занятость,Не указаны,Москва,True
IT Project Manager,180000.0,Kwork,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,agile,Санкт-Петербург,True
Начинающий менеджер проекта (услуги Яндекс),80000.0,Бутова Светлана Романовна,Среднее,Не требуется,Нет опыта,Не указано,Полная занятость,Не указаны,Воронеж,True
Менеджер проектов (junior),40000.0,WEB-AiM,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Таганрог,True
Менеджер проектов,40000.0,BlackMedia,Не требуется,Не требуется,Нет опыта,Не указано,Полная занятость,Не указаны,Вологда,True
Project manager,80000.0,iTrack,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва,True
Проджект-менеджер (аккаунт-менеджер) junior / помощник менеджера проектов,40000.0,Астра,Не требуется,Не требуется,Нет опыта,Не указано,Полная занятость,Не указаны,Хабаровск,True
Менеджер проекта/Project manager в онлайн-школу,,Schoolsmart,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва,True
Менеджер проектов,50000.0,АНО Центр территориального развития Удмуртии,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Ижевск,True
Руководитель проектов/Менеджер проекта,120000.0,MAD ARCHITECTS,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва,True
Менеджер проектов,145000.0,ЭСКОМ,Высшее,Не требуется,Нет опыта,Не указано,Полная занятость,Не указаны,Москва,True
Проектный менеджер,100000.0,Синтека,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург,True
Руководитель ИТ-проектов (проект-менеджер),,ГК БизнесПрофи,Не требуется,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Краснодар,True
Менеджер проекта (удаленно),80000.0,Likesoft,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург,True
Менеджер проектов,100000.0,УК Академия Долголетия,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва,True
Проектный менеджер в компанию с собственным производством (не продажи),95000.0,Про-Сцена,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Нижний Новгород,True
Менеджер выставочных проектов,100000.0,Интерформ Экспо,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва,True
Руководитель проекта,80000.0,Торговый Дом АРТЕЛЬ,Не требуется,Не требуется,Нет опыта,Не указано,Полная занятость,Не указаны,Санкт-Петербург,True
Менеджер проектов,110000.0,Ценалом,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,agile; scrum; waterfall,Красноярск,True
Менеджер проекта (Строительство),75000.0,Строй Кадры (ИП Архипова Ксения Викторовна),Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва,True
Проджект менеджер в агентство по разработке сайтов,70000.0,Бойко Анастасия Александровна,Среднее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Краснодар,True
Менеджер проекта координатор (без опыта работы),60000.0,МК Групп,Высшее,Не требуется,Нет опыта,Не указано,Полная занятость,Не указаны,Курск,True
Проектный менеджер,150000.0,Благотворительный фонд НейроДети (филиал),Не требуется,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Москва,True
"Аккаунт-менеджер проектов (в digital-агентство, удаленно)",70000.0,Haunds,Среднее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва,True
Администратор IT-проектов,80000.0,Деснол Софт,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва,True
Менеджер IT-проектов,100000.0,Artic Media,Среднее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург,True
Project Manager,2300.0,Taitan-fzco,Не требуется,Требуется,Более 6 лет,Не указано,Полная занятость,agile; waterfall,Москва,True
Руководитель проектов/проджект-менеджер/проектный менеджер,90000.0,Веб-Агентство Текстерра,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Орехово-Зуево,True
Менеджер проектов/ Project-manager в Финтех-компанию (удаленно),50000.0,FINAMP,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва,True
Менеджер проектов,90000.0,ДжиЭрСи,Не требуется,Не требуется,Нет опыта,Не указано,Полная занятость,Не указаны,Щелково,True
Менеджер по проектам,120000.0,Вотприкид,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва,True
Project manager,180000.0,PROFITEROLE,Не требуется,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Москва,True
Руководитель онлайн проекта | Проектный менеджер,90000.0,Кучумов Искандер Альбертович,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва,True
Ассистент менеджеров проектов/Младший менеджер проектов,30000.0,Cetera,Не требуется,Не требуется,Нет опыта,Не указано,Полная занятость,Не указаны,Москва,True
Менеджер проектов аутсорсинговой компании,120000.0,Питер Стафф,Среднее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва,True
Администратор проекта (менеджер проекта),120000.0,Архитектурное бюро МежрегионСтрой,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва,True
Проектный менеджер в DeFi-проект,1600.0,StartUpix,Не требуется,Требуется,От 1 года до 3 лет,Не указано,Частичная занятость,agile; scrum,Москва,True
Менеджер проектов,160000.0,ПЕРВЫЙ ЖИВОЙ КОЛЛАГЕН,Не требуется,Не требуется,Нет опыта,Не указано,Полная занятость,Не указаны,Москва,True
Менеджер проектов,75000.0,В2В-КОНСАЛТ,Высшее,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,agile; kanban; scrum,Москва,True
Менеджер проектов в «Северсталь» (Лидерская программа),,FutureToday,Не требуется,Не требуется,Нет опыта,Не указано,Полная занятость,Не указаны,Орел,True
"Менеджер проектов (разработка сайтов), Москва",100000.0,Digital-агентство ADN,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,waterfall,Москва,True
"Руководитель проектов (digital, multimedia)",,Rich Witches,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва,True
Менеджер проектов (продакт-менеджер),80000.0,Феерита,Высшее,Не требуется,Нет опыта,Не указано,Полная занятость,Не указаны,Екатеринбург,True
Менеджер проектов,100000.0,Пром Инжиниринг Групп,Не требуется,Не требуется,Нет опыта,Не указано,Полная занятость,Не указаны,Нижний Новгород,True
Менеджер проектов/Project manager,120000.0,Бельведер,Среднее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Владивосток,True
Менеджер проектов в «Северсталь» (Лидерская программа),,FutureToday,Не требуется,Не требуется,Нет опыта,Не указано,Полная занятость,Не указаны,Вологда,True
