Vacancy,Salary,Company,Education,English,WorkExperience,Certification,OperatingMode,ManagementMethods,Region
Менеджер проекта,40000.0,КОРСА,Высшее,Не требуется,Нет опыта,Не указано,Полная занятость,Не указаны,Иркутск
Менеджер проектов (без поиска клиентов),60000.0,Труша-Мск,Не требуется,Не требуется,Нет опыта,Не указано,Полная занятость,Не указаны,Москва
Менеджер по проектам,90000.0,Видео Ленд,Высшее,Требуется,Нет опыта,Не указано,Полная занятость,Не указаны,Москва
Менеджер проекта,150000.0,Vitagor Stroy,Среднее,Не требуется,Нет опыта,Не указано,Полная занятость,Не указаны,Москва
IT Project Manager,180000.0,Kwork,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,agile,Санкт-Петербург
Начинающий менеджер проекта (услуги Яндекс),80000.0,Бутова Светлана Романовна,Среднее,Не требуется,Нет опыта,Не указано,Полная занятость,Не указаны,Воронеж
Менеджер проектов (junior),40000.0,WEB-AiM,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Таганрог
Менеджер проектов,40000.0,BlackMedia,Не требуется,Не требуется,Нет опыта,Не указано,Полная занятость,Не указаны,Вологда
Project manager,80000.0,iTrack,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва
Проджект-менеджер (аккаунт-менеджер) junior / помощник менеджера проектов,40000.0,Астра,Не требуется,Не требуется,Нет опыта,Не указано,Полная занятость,Не указаны,Хабаровск
Менеджер проекта/Project manager в онлайн-школу,100000.0,Schoolsmart,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва
Менеджер проектов,50000.0,АНО Центр территориального развития Удмуртии,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Ижевск
Руководитель проектов/Менеджер проекта,120000.0,MAD ARCHITECTS,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва
Менеджер проектов,145000.0,ЭСКОМ,Высшее,Не требуется,Нет опыта,Не указано,Полная занятость,Не указаны,Москва
Проектный менеджер,100000.0,Синтека,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург
Руководитель ИТ-проектов (проект-менеджер),100000.0,ГК БизнесПрофи,Не требуется,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Краснодар
Менеджер проекта (удаленно),80000.0,Likesoft,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург
Менеджер проектов,100000.0,УК Академия Долголетия,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва
Проектный менеджер в компанию с собственным производством (не продажи),95000.0,Про-Сцена,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Нижний Новгород
Менеджер выставочных проектов,100000.0,Интерформ Экспо,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва
Руководитель проекта,80000.0,Торговый Дом АРТЕЛЬ,Не требуется,Не требуется,Нет опыта,Не указано,Полная занятость,Не указаны,Санкт-Петербург
Менеджер проектов,110000.0,Ценалом,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,agile; scrum; waterfall,Красноярск
Менеджер проекта (Строительство),75000.0,Строй Кадры (ИП Архипова Ксения Викторовна),Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва
Проджект менеджер в агентство по разработке сайтов,70000.0,Бойко Анастасия Александровна,Среднее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Краснодар
Менеджер проекта координатор (без опыта работы),60000.0,МК Групп,Высшее,Не требуется,Нет опыта,Не указано,Полная занятость,Не указаны,Курск
Проектный менеджер,150000.0,Благотворительный фонд НейроДети (филиал),Не требуется,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Москва
"Аккаунт-менеджер проектов (в digital-агентство, удаленно)",70000.0,Haunds,Среднее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва
Администратор IT-проектов,80000.0,Деснол Софт,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва
Менеджер IT-проектов,100000.0,Artic Media,Среднее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург
Project Manager,2300.0,Taitan-fzco,Не требуется,Требуется,Более 6 лет,Не указано,Полная занятость,agile; waterfall,Москва
Руководитель проектов/проджект-менеджер/проектный менеджер,90000.0,Веб-Агентство Текстерра,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Орехово-Зуево
Менеджер проектов/ Project-manager в Финтех-компанию (удаленно),50000.0,FINAMP,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва
Менеджер проектов,90000.0,ДжиЭрСи,Не требуется,Не требуется,Нет опыта,Не указано,Полная занятость,Не указаны,Щелково
Менеджер по проектам,120000.0,Вотприкид,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва
Project manager,180000.0,PROFITEROLE,Не требуется,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Москва
Руководитель онлайн проекта | Проектный менеджер,90000.0,Кучумов Искандер Альбертович,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва
Ассистент менеджеров проектов/Младший менеджер проектов,30000.0,Cetera,Не требуется,Не требуется,Нет опыта,Не указано,Полная занятость,Не указаны,Москва
Менеджер проектов аутсорсинговой компании,120000.0,Питер Стафф,Среднее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва
Администратор проекта (менеджер проекта),120000.0,Архитектурное бюро МежрегионСтрой,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва
Проектный менеджер в DeFi-проект,1600.0,StartUpix,Не требуется,Требуется,От 1 года до 3 лет,Не указано,Частичная занятость,agile; scrum,Москва
Менеджер проектов,160000.0,ПЕРВЫЙ ЖИВОЙ КОЛЛАГЕН,Не требуется,Не требуется,Нет опыта,Не указано,Полная занятость,Не указаны,Москва
Менеджер проектов,75000.0,В2В-КОНСАЛТ,Высшее,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,agile; kanban; scrum,Москва
Менеджер проектов в «Северсталь» (Лидерская программа),100000.0,FutureToday,Не требуется,Не требуется,Нет опыта,Не указано,Полная занятость,Не указаны,Орел
"Менеджер проектов (разработка сайтов), Москва",100000.0,Digital-агентство ADN,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,waterfall,Москва
"Руководитель проектов (digital, multimedia)",100000.0,Rich Witches,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва
Менеджер проектов (продакт-менеджер),80000.0,Феерита,Высшее,Не требуется,Нет опыта,Не указано,Полная занятость,Не указаны,Екатеринбург
