Vacancy,Salary,Company,Education,English,WorkExperience,Certification,OperatingMode,ManagementMethods,Region
Руководитель проекта,150000.0,АртСтройДок,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва
Менеджер проектов направления промышленного оборудования,135000.0,СМТТех,Не требуется,Требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Москва
Менеджер проекта,50000.0,ТД Добромаш,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Челябинск
FinTech Project Manager / Менеджер проекта,100000.0,Ит-Финанс,Не требуется,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,kanban; scrum,Москва
Менеджер проектов,75000.0,Рабочие Бригады,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Краснодар
Менеджер IT-проектов / Project Manager,60000.0,Alef,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва
Руководитель проектов НВФ,130000.0,KAFT SYSTEM,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург
Менеджер проекта,110000.0,НК Инновации,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва
Менеджер проектов,100000.0,Сатурн-20,Не требуется,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Ростов-на-Дону
Менеджера проекта / Project Manager,25000.0,ГК Эксперт Поиск,Не требуется,Требуется,Нет опыта,Не указано,Полная занятость,Не указаны,Владикавказ
Менеджер проектов,50000.0,Кадровые Решения,Не требуется,Не требуется,Нет опыта,Не указано,Полная занятость,Не указаны,Санкт-Петербург
Менеджер проекта (светотехника),90000.0,Прометеус,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва
Менеджер IT-проектов / Project manager,45000.0,Tian Group,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Челябинск
Менеджер проекта,40000.0,"МП-Технологии, группа компаний",Не требуется,Не требуется,Нет опыта,Не указано,Полная занятость,Не указаны,Калининград
Проектный менеджер,50000.0,Управление проектами,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Брянск
Проектный менеджер,50000.0,Стартап-студия БФУ,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Калининград
Менеджер проекта (вентиляция),150000.0,Бриз - Климатические Системы,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Екатеринбург
Менеджер проектов,135600.0,Айковер ПРО,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,agile; kanban; scrum; waterfall,Москва
Менеджер проектов,80000.0,Челябинский завод мобильных энергоустановок и конструкций,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Челябинск
Менеджер проектов автоматизации,100000.0,Контур,Не требуется,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Екатеринбург
Проект-менеджер,80000.0,Агат-Трейд,Высшее,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Ростов-на-Дону
Менеджер проектов,40000.0,DM Regions (ИП Федотова Ульяна Олеговна),Среднее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Железнодорожный
Ассистент менеджера проектов (Project management assistant),50000.0,Промобит,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Омск
Ведущий менеджер проекта,120000.0,Пинайкина Светлана Владимировна,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Иркутск
Менеджер проектов,80000.0,Эльмаш-УЭТМ,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Екатеринбург
Менеджер проектов наружного освещения,120000.0,Брайт Бюро,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург
Менеджер проектов,80000.0,Гермес Групп,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург
Project-менеджер,50000.0,Codex Band,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Ставрополь
Менеджер проекта,90000.0,OVISION,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,agile; kanban,Москва
Менеджер по продажам / Менеджер проектов / Project manager / MICE,90000.0,Z Brothers,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва
Менеджер проекта,160000.0,Группа ЛСР,Высшее,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург
Менеджер IT-проектов ДОБРО.РФ,100000.0,Ассоциация Волонтерских Центров,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва
Менеджер проекта (вентиляция),150000.0,Бриз - Климатические Системы,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Иркутск
Руководитель проектов,60000.0,BLS,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Екатеринбург
Менеджер проектов (количественные исследования),100000.0,Точка Роста,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва
Project Manager,100000.0,Аптрейд,Не требуется,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Москва
Менеджер проектов B2B,120000.0,Гефест,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва
Менеджер проекта,110000.0,ЛТ ГЛОБАЛ ФОРВАРДИНГ,Высшее,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Москва
Project manager / менеджер проектов IT,130000.0,Итсен,Высшее,Требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Москва
Менеджер по проектам,97000.0,Энергоцентр,Не требуется,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Москва
Менеджер проектов развития бизнеса,120000.0,Law Business Group,Среднее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Ростов-на-Дону
Руководитель проектов,80000.0,Многогранники,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Белгород
Руководитель проекта,310000.0,Группа ЛСР,Высшее,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Москва
Менеджер проектов (мебельное производство),100000.0,БЮРО,Не требуется,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Москва
Менеджер проектов,50000.0,Бинни Нейтив Плейс,Не требуется,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Ульяновск
Руководитель Проектов Умный Дом KNX,110000.0,Вита Смарт,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва
Менеджер проектов/маркетолог,60000.0,UniSearch,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Симферополь
Специалист ПТО / менеджер проекта,85000.0,Группа компаний СТС,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург
Интернет-маркетолог / Менеджер проектов / Project,70000.0,УПАКУЕМ.РФ,Среднее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Ростов-на-Дону
Проектный менеджер/руководитель проектов,30000.0,М9 Фарм,Не требуется,Не требуется,Нет опыта,Не указано,Полная занятость,Не указаны,Тольятти
Руководитель проекта / Менеджер проекта,80000.0,СК-ИНЖИНИРИНГ,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва
Менеджер проектов,70000.0,Емелин Максим Андреевич,Не требуется,Не требуется,Нет опыта,Не указано,Полная занятость,Не указаны,Владивосток
Менеджер проектов,75000.0,Раистех,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Троицк (Московская область)
Менеджер проектов,50000.0,Бинни Нейтив Плейс,Не требуется,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Саратов
Менеджер проекта/Account менеджер/Project менеджер,100000.0,NEXT Contact,Не требуется,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Москва
Менеджер проектов / Менеджер по работе с партнёрами (светотехника),80000.0,Лед-Би-Ай,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург
Менеджер проектов,50000.0,Благотворительный фонд Добрый город Петербург,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург
Менеджер проектов,46000.0,UniSearch,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Симферополь
Помощник менеджера проектов (Мебельное производство),75000.0,Артинвент,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва
Менеджер по реализации BTL проектов (project manager),40000.0,Хорошие Люди,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Нижний Новгород
Менеджер по управлению проектами,80000.0,Бонака,Высшее,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Краснодар
Менеджер IT-проектов,50000.0,Колибри,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,agile; scrum; waterfall,Екатеринбург
Аккаунт-менеджер / Account manager (SEO)/Руководитель проектов СЕО,100000.0,Михайлов Дмитрий Сергеевич,Среднее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Нижний Новгород
Руководитель проектов,120000.0,Поликс Групп,Не требуется,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Москва
"Руководитель проекта / Project manager / аккаунт-менеджер (офис, Воронеж)",55000.0,ФРОМТЕК,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Воронеж
Администратор проектов,100000.0,ИТ-Капитал,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва
Менеджер проектов e-com (middle+/senior),90000.0,Intensa,Не требуется,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Тула
Менеджер проектов (Project Manager),130000.0,СИ БИ АЙ ДАТА,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,scrum,Краснодар
Руководитель проектов,40000.0,Корниенко Марина Александровна,Среднее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва
Менеджер проектов,100000.0,ЮниВеб,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Тула
Менеджер проекта (вентиляция),150000.0,Бриз - Климатические Системы,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Волгоград
Менеджер BTL-проектов / Project manager,80000.0,Эктивейт,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва
Менеджер проекта,40000.0,Мастерспорт-Импорт,Высшее,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Воронеж
Менеджер проектов,80000.0,Ав Строй,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва
Менеджер по управлению проектами,20000.0,Clickbait SMM Digital-маркетинг,Не требуется,Не требуется,Нет опыта,Не указано,Проектная работа,Не указаны,Тверь
Менеджер проекта,150000.0,БИК-Информ,Не требуется,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург
Менеджер проектов,70000.0,Центр проектного развития территорий и туризма Челябинской области,Высшее,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Челябинск
Руководитель проекта,150000.0,Энтэк,Высшее,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Москва
Менеджер проектов MICE,100000.0,Герои,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва
Менеджер проекта/руководитель,100000.0,Стройинжиниринг,Высшее,Не требуется,Более 6 лет,Не указано,Полная занятость,Не указаны,Липецк
Менеджер ивент-проектов,120000.0,BRIGHT event agency,Среднее,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Москва
Менеджер проекта,50000.0,Орион,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург
Администратор проектов,50000.0,СТАРКОВ Групп,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,agile; kanban; scrum,Екатеринбург
Менеджер проектов,20000.0,Абсалихов Ильнар Ильнурович,Не требуется,Не требуется,Нет опыта,Не указано,Полная занятость,Не указаны,Казань
Руководитель проекта,160000.0,Мт Групп,Высшее,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Челябинск
Руководитель проектов (ГИП)/менеджер проектов/координатор проектов,100000.0,АРТЭЛЕКТРИК,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва
Менеджер проектов,30000.0,АКРАТО,Не требуется,Не требуется,Нет опыта,Не указано,Полная занятость,Не указаны,Киров (Кировская область)
Менеджер коммерческого отдела (проектов),60000.0,Центр ИПК,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Нижний Новгород
Менеджер проектов,90000.0,Электротехнический Завод Импульс,Не требуется,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Москва
Менеджер проекта,40000.0,Промышленная Медицина,Высшее,Не требуется,Нет опыта,Не указано,Полная занятость,Не указаны,Тюмень
Менеджер проекта,67000.0,Трубная Металлургическая Компания,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Челябинск
Менеджер проектов,80000.0,Научно-производственная фирма АВЭК,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Екатеринбург
Ведущий менеджер проектов,100000.0,ART6,Не требуется,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Краснодар
Менеджер проекта (вентиляция),150000.0,Бриз - Климатические Системы,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург
Менеджер проекта,80000.0,Производственное объединение Генова,Высшее,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Челябинск
Ведущий менеджер проектов (светотехника),120000.0,Аледо,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва
Менеджер проектов,100000.0,Brandson,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург
"Менеджер проекта, Направление ""СУПР""",65000.0,Техноавиа,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Челябинск
Менеджер проекта координатор (без опыта работы),60000.0,МК Групп,Высшее,Не требуется,Нет опыта,Не указано,Полная занятость,Не указаны,Донецк (Ростовская область)
Ассистент менеджера ИТ-проектов с разговорным английским,30000.0,Purrweb,Среднее,Требуется,Нет опыта,Не указано,Полная занятость,agile; kanban; scrum,Омск
Менеджер по интеграции проектов,100000.0,SKAI,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург
Менеджер по развитию проектов,75000.0,ПлазмаОнЛайн,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва
Менеджер проектов IT,60000.0,РусИнтеКо,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Краснодар
Менеджер проекта (вентиляция),150000.0,Бриз - Климатические Системы,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Красноярск
Менеджер проекта,100000.0,Фабрика Каркасов Серпухов,Среднее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Серпухов
Менеджер проектов в «Северсталь» (Лидерская программа),100000.0,FutureToday,Не требуется,Не требуется,Нет опыта,Не указано,Полная занятость,Не указаны,Челябинск
Менеджер проектов,50000.0,Государственное автономное учреждение Тульской области «Центр информационных технологий»,Высшее,Не требуется,Нет опыта,Не указано,Полная занятость,scrum; waterfall,Тула
Менеджер проектов (FinTech),80000.0,МКК СМСФИНАНС,Не требуется,Требуется,От 1 года до 3 лет,Не указано,Полная занятость,agile; kanban; scrum,Новосибирск
Менеджер проектов/аккаунт менеджер в digital-агентство,40000.0,Маркетинговое агентство Импульс,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва
Менеджер проектов,70000.0,Яндекс Крауд,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва
Менеджер проектов,65000.0,БФ РЭЙ,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва
Руководитель проектов,60000.0,Проектно-Аналитическое Агентство ЗЭТ,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва
Менеджер проектов (ИТ услуги),60000.0,АСП Трейд,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Новосибирск
Менеджер проекта (API и B2B интеграции),100000.0,i'way,Не требуется,Требуется,От 1 года до 3 лет,Не указано,Полная занятость,kanban,Новосибирск
Менеджер проектов,60000.0,"Платина, группа компаний",Не требуется,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Красноярск
Менеджер проектов,180000.0,КЛЮЧАВТО,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Краснодар
Помощник руководителя проектов,50000.0,НПЦ НовАТранс,Не требуется,Не требуется,Нет опыта,Не указано,Полная занятость,Не указаны,Екатеринбург
Менеджер проекта,150000.0,Бриз - Климатические Системы,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Калининград
Менеджер проекта / Руководитель проекта (электромонтаж),100000.0,Новые световые решения,Среднее,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург
Менеджер проектов,50000.0,Миари А.Х.,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Мытищи
Менеджер проектов,85000.0,Домашние Системы,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва
Менеджер проектов,56000.0,АНО Сибирский институт развития креативных индустрий,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Красноярск
Менеджер проектов (Без холодного поиска),100000.0,Томилов Евгений Дмитриевич,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Екатеринбург
Руководитель проектов,100000.0,Роботех,Высшее,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Пермь
Менеджер проекта,60000.0,Долсо,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва
Менеджер проектов,80000.0,Стелла,Высшее,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург
Менеджер проекта,50000.0,PALAX,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Киров (Кировская область)
Менеджер проектов,46000.0,"IQLINE, CAll-центр",Среднее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Великий Новгород
Координатор проектов в рекламное агентство,100000.0,"Тандем, рекламная группа",Не требуется,Не требуется,Нет опыта,Не указано,Полная занятость,Не указаны,Екатеринбург
Руководитель проектов,150000.0,Snug.,Высшее,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Москва
Менеджер проекта,150000.0,Бриз - Климатические Системы,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Иркутск
Менеджер проекта,70000.0,Силин Кирилл Владимирович,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Новосибирск
Проджект-менеджер,100000.0,Планета Творчества,Не требуется,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Москва
Менеджер проектов,75000.0,ВКУСТЕР,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург
Менеджер проектов,100000.0,"Филиал ООО Веллдорис, г.Новосибирск",Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Новосибирск
Помощник аккаунт-менеджера проектов,30000.0,DELTA,Не требуется,Не требуется,Нет опыта,Не указано,Полная занятость,Не указаны,Таганрог
Менеджер управления проектами,70000.0,Окна Столицы,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Сергиев Посад
Менеджер проектов,112000.0,ОБИТ,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,scrum,Санкт-Петербург
Ведущий менеджер по проектам,50000.0,ПромОриентир,Не требуется,Не требуется,Нет опыта,Не указано,Полная занятость,Не указаны,Курск
Менеджер проекта,55000.0,Альфа,Не требуется,Не требуется,Нет опыта,Не указано,Полная занятость,Не указаны,Пермь
Менеджер проектов,40000.0,Дом Рулоноф,Среднее,Не требуется,Нет опыта,Не указано,Полная занятость,Не указаны,Нижний Новгород
Технический менеджер проектов,100000.0,Новые Технологии,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Екатеринбург
Менеджер управления аналитическими проектами / project-менеджер,70000.0,Рекламно-Торговый Конгломерат,Не требуется,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Нижний Новгород
Project manager,25000.0,Пластилин-арт (Осипов Ю.В.),Среднее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Курск
Менеджер проектов,60000.0,Сибирские интеграционные системы,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Красноярск
Менеджер проектов,100000.0,Пневмакс,Высшее,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Москва
Менеджер отдела продаж/менеджер проектов,80000.0,Проект Строй,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург
Менеджер проектов,55000.0,Asmart,Не требуется,Не требуется,Нет опыта,Не указано,Полная занятость,Не указаны,Омск
Руководитель проектов / менеджер проектов,80000.0,Апэрбот,Высшее,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Новосибирск
Менеджер проектов,100000.0,Encore Fitness,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва
Менеджер проектов/Специалист по внедрению,90000.0,ОСМИ,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва
Менеджер проектов,60000.0,jobcart.ru,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Новосибирск
Руководитель проектов,80000.0,Про Вектор,Высшее,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Москва
Администратор проектов,50000.0,Голос.Девелопмент,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Челябинск
Технический менеджер проектов,100000.0,"Протей, НТЦ",Не требуется,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург
Менеджер проекта,85000.0,Такском,Не требуется,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Москва
Менеджер проектов,60000.0,Наяда-Тюмень,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Екатеринбург
Проектный менеджер/ Ведущий куратор проекта / Руководитель проектов,100000.0,UNITWORK,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Краснодар
Менеджер проекта,70000.0,ПП Благовест С+,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Новосибирск
Менеджер проекта,92000.0,Эко-Блок №345,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва
Менеджер проектов,40000.0,АТМ АЛЬЯНС,Высшее,Не требуется,Нет опыта,Не указано,Полная занятость,Не указаны,Тюмень
Менеджер проектов,100000.0,Flowrez,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Красногорск
Менеджер по проектам реализации CAD\CAM систем,100000.0,Лейкехман Юрий Михайлович,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Нижний Новгород
Менеджер проекта,100000.0,Виспер,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва
Менеджер проекта,100000.0,LASSARD,Высшее,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Москва
"Менеджер проектов (мерч, промо и брендированная продукция)",60000.0,Мегамайнд,Среднее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва
Администратор проектов / Помощник руководителя проекта,60000.0,Интеграция проектов,Не требуется,Не требуется,Нет опыта,Не указано,Полная занятость,Не указаны,Москва
Менеджер проектов,60000.0,Maxi rolls,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Ижевск
Менеджер проектов,60000.0,Научно Производственный Центр Промышленной Очистки Воды (ООО «НПЦ ПромВодОчистка»),Высшее,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Нижний Новгород
Менеджер проектов,60000.0,ПРОВЕРТ,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Смоленск
Account Manager / Менеджер проектов / DIGITAL,100000.0,KINETICA performance agency,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Барнаул
Менеджер проектов,100000.0,Flowrez,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва
Руководитель проектов,150000.0,Четыре стихии,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва
Менеджер проектов,45000.0,Хоперская упаковка,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,agile; scrum,Москва
Менеджер проекта,200000.0,Бриз - Климатические Системы,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург
Менеджер проектов,35000.0,ЭКСПРЕСС,Не требуется,Не требуется,Нет опыта,Не указано,Полная занятость,Не указаны,Ростов-на-Дону
Руководитель проектов,65500.0,ЯРМОДУЛЬ,Не требуется,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Ярославль
Менеджер проектов,130000.0,Metacommerce,Среднее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Екатеринбург
Менеджер по управлению проектами,80000.0,Спектр,Высшее,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Екатеринбург
Ведущий менеджер проектов,70000.0,БС Актив,Не требуется,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург
Руководитель проекта,150000.0,НОАТЕК,Не требуется,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Москва
Проектный менеджер,80000.0,"Сладкая Слобода, КФ",Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Киров (Кировская область)
